Sum of 8.71,Column Labels,,,,,,,,,,
Row Labels,DO,EC,GRV,MapLocation,ORP,PH,Sal,TDS,Temp,(blank),Grand Total
2017-04-01T21:24:35.577977,,,,,,,1.47,,,,1.47
2017-04-01T21:24:35.577985,,,1.001,,,,,,,,1.001
2017-04-01T21:24:35.577993,,,,0,,,,,,,0
2017-04-01T21:24:47.517602,9.42,,,,,,,,,,9.42
2017-04-01T21:24:47.517629,,,,,,,,,,,
2017-04-01T21:24:47.517640,,,,,,5.925,,,,,5.925
2017-04-01T21:24:47.517648,,2854,,,,,,,,,2854
2017-04-01T21:24:47.517656,,,,,,,,,31.1,,31.1
2017-04-01T21:24:47.517664,,,,,,,,1541,,,1541
2017-04-01T21:24:47.517672,,,,,,,1.47,,,,1.47
2017-04-01T21:24:47.517679,,,1.001,,,,,,,,1.001
2017-04-01T21:24:47.517687,,,,0,,,,,,,0
2017-04-01T21:24:59.464582,9.37,,,,,,,,,,9.37
2017-04-01T21:24:59.464614,,,,,,,,,,,
2017-04-01T21:24:59.464627,,,,,,5.923,,,,,5.923
2017-04-01T21:24:59.464637,,2854,,,,,,,,,2854
2017-04-01T21:24:59.464647,,,,,,,,,31.1,,31.1
2017-04-01T21:24:59.464660,,,,,,,,1541,,,1541
2017-04-01T21:24:59.464669,,,,,,,1.47,,,,1.47
2017-04-01T21:24:59.464678,,,1.001,,,,,,,,1.001
2017-04-01T21:24:59.464687,,,,0,,,,,,,0
2017-04-01T21:25:11.009897,9.37,,,,,,,,,,9.37
2017-04-01T21:25:11.009928,,,,,,,,,,,
2017-04-01T21:25:11.009938,,,,,,5.921,,,,,5.921
2017-04-01T21:25:11.009946,,2854,,,,,,,,,2854
2017-04-01T21:25:11.009953,,,,,,,,,31.1,,31.1
2017-04-01T21:25:11.009960,,,,,,,,1541,,,1541
2017-04-01T21:25:11.009967,,,,,,,1.47,,,,1.47
2017-04-01T21:25:11.009974,,,1.001,,,,,,,,1.001
2017-04-01T21:25:11.009980,,,,0,,,,,,,0
2017-04-01T21:25:23.409213,9.38,,,,,,,,,,9.38
2017-04-01T21:25:23.409245,,,,,,,,,,,
2017-04-01T21:25:23.409257,,,,,,5.925,,,,,5.925
2017-04-01T21:25:23.409265,,2854,,,,,,,,,2854
2017-04-01T21:25:23.409272,,,,,,,,,31.1,,31.1
2017-04-01T21:25:23.409280,,,,,,,,1541,,,1541
2017-04-01T21:25:23.409288,,,,,,,1.47,,,,1.47
2017-04-01T21:25:23.409295,,,1.001,,,,,,,,1.001
2017-04-01T21:25:23.409302,,,,0,,,,,,,0
2017-04-01T21:25:35.420700,9.32,,,,,,,,,,9.32
2017-04-01T21:25:35.420732,,,,,,,,,,,
2017-04-01T21:25:35.420744,,,,,,5.923,,,,,5.923
2017-04-01T21:25:35.420754,,2850,,,,,,,,,2850
2017-04-01T21:25:35.420763,,,,,,,,,31.1,,31.1
2017-04-01T21:25:35.420771,,,,,,,,1539,,,1539
2017-04-01T21:25:35.420780,,,,,,,1.47,,,,1.47
2017-04-01T21:25:35.420788,,,1.001,,,,,,,,1.001
2017-04-01T21:25:35.420796,,,,0,,,,,,,0
2017-04-01T21:25:47.369470,9.36,,,,,,,,,,9.36
2017-04-01T21:25:47.369504,,,,,,,,,,,
2017-04-01T21:25:47.369518,,,,,,5.921,,,,,5.921
2017-04-01T21:25:47.369527,,2854,,,,,,,,,2854
2017-04-01T21:25:47.369536,,,,,,,,,31.1,,31.1
2017-04-01T21:25:47.369545,,,,,,,,1541,,,1541
2017-04-01T21:25:47.369553,,,,,,,1.47,,,,1.47
2017-04-01T21:25:47.369560,,,1.001,,,,,,,,1.001
2017-04-01T21:25:47.369569,,,,0,,,,,,,0
2017-04-01T21:25:58.860936,9.34,,,,,,,,,,9.34
2017-04-01T21:25:58.860974,,,,,,,,,,,
2017-04-01T21:25:58.860988,,,,,,5.925,,,,,5.925
2017-04-01T21:25:58.860998,,2854,,,,,,,,,2854
2017-04-01T21:25:58.861007,,,,,,,,,31.1,,31.1
2017-04-01T21:25:58.861016,,,,,,,,1541,,,1541
